;0
11.732.998.580.914.700;1
7.657.447.149.047.080;3
1.157.713.282.541.280;4
21.425.323.192.479.300;10
12.798.483.080.274.400;8
8.067.264.869.969.570;1
41.629.257.790.538.500;13
8.228.539.032.105.900;13
0.0;2
7.655.442.762.957.430;4
7.448.701.736.157.050;4
10.429.955.325.720.800;3
15.191.145.634.058.000;1
9.999.819.577.013.680;1
32.500.112.935.380.500;3
13.555.780.647.893.600;1
8.796.591.974.270.440;1
15.903.330.295.719.800;1
2.039.733.567.223.900;6
13.220.280.922.972.600;8
15.122.346.066.842.900;3
4.854.587.066.967.280;8
2.298.716.501.585.580;1
9.215.252.694.080.050;1
6.124.674.074.305.730;1
3.044.072.363.418.520;2
14.695.644.982.844.300;2
37.998.449.212.236.500;6
16.807.254.092.133.200;3
7.660.728.873.485.580;1
8.522.067.361.934.590;2
1.349.571.566.639.740;1
10.456.739.286.723.900;12
7.791.141.952.552.400;2
8.730.961.542.930.640;4
12.171.770.127.086.900;14
39.734.462.083.833.600;12
4.389.046.912.724.580;6
37.293.482.139.425.100;13
5.664.785.310.057.920;2
8.134.099.426.098.540;6
4.187.761.157.380.340;12
0.0;2
5.664.785.310.057.920;2
8.317.876.236.250.140;10
0.0;2
12.354.083.672.655.300;4
5.664.785.310.057.920;2
5.664.785.310.057.920;2
8.711.567.321.806.950;13
21.328.752.485.803.400;1
754.534.661.921.199;10
29.446.219.344.171.800;10
1.682.270.571.252.830;4
9.018.772.019.982.040;13
24.503.347.990.873.100;6
425.127.174.586.736;12
39.521.137.393.370.500;13
984.618.612.001.929;6
0.0;2
812.378.513.353.356;13
3.574.901.092.138.770;13
16.899.614.121.121.300;12
4.607.630.011.098.370;12
4.897.341.000.495.410;1
35.272.064.158.786.300;13
8.202.692.510.321.150;13
9.125.963.075.444.860;13
5.234.203.578.868.920;13
6.533.520.901.917.590;12
7.209.967.467.333.840;12
23.054.757.830.561.900;12
1.279.808.643.306.150;13
9.495.221.244.071.450;13
33.346.863.781.958.400;12
7.409.310.124.295.950;12
1.706.706.638.796.360;13
8.318.477.240.922.000;12
8.336.049.899.632.200;12
52.498.451.291.646.400;2
4.197.522.298.901.300;12
739.188.147.743.272;13
21.510.044.452.978.900;12
16.599.070.040.426.600;12
15.562.386.671.142.600;13
32.787.371.548.433.200;13
25.523.216.192.413.800;8
2.270.991.206.654.600;12
6.721.202.594.824.610;13
9.501.059.424.957.490;2
21.066.219.920.535.900;12
7.178.864.457.580.750;12
